,text,label
0,यो समान राम्रो रहेछ,1
1,समान राम्रो रहेछ,1
2,राम्रो रहेछ,1
3,यो घडी मलाइ साँच्चिकै सुहाउछ । म यसलाई खरीद गर्नेछु।:),1
4,साँच्चिकै सुहाउछ,1
5,सुहाउछ,1
6,खरीद गर्नेछु,2
7,मूल्य प्रति अनुसार राम्रो उत्पादन,1
8,राम्रो उत्पादन,1
9,ठिकै उत्पादन हो,2
10,सामान त राम्रो रहिछ ।,1
11,वाह,1
12,सहि हो सहि हो,1
13,सहि हो,1
14,चाख् लाग्दो ,1
15,एकदम दामी छ ।,1
16,एकदम दामी,1
17,दामी छ,1
18,मेरा बच्चाहरू यसलाई प्रयोग गर्न मनपराउछन ,1
19,मेरा बच्चाहरू,2
20,यसलाई प्रयोग गर्न मनपराउछन,1
21,मनपराउछन,1
22,शुरुआती वा अनुभवी व्यक्तिको लागि उत्कृष्ट,1
23,शुरुआती वा अनुभवी,1
24,अनुभवी,1
25,व्यक्तिको लागि उत्कृष्ट,1
26,उत्कृष्ट,1
27,उनीहरूको लागि सस्तो ट्याब्लेट प्रयोग गर्न र सिक्नका लागि सजिलो छ ,1
28,ट्याब्लेट प्रयोग गर्न र सिक्नका लागि सजिलो छ,1
29,प्रयोग गर्न र सिक्नका लागि सजिलो छ,1
30,सजिलो छ,1
31,मूल्यको लागि मलाई लाग्छ यो ट्याब्लेट त्यहाँ सबै भन्दा राम्रो छ,1
32,सबै भन्दा राम्रो छ,1
33,यो सामन साइज को छ।मैले यसलाई मेरो पतिको लागि खरिद गरेँ किनकि उहाँसँग यो  फोनको तुलनामा ठूलो स्क्रिन छ,1
34,यो सामन साइज को छ,1
35,उहाँसँग यो  फोनको तुलनामा ठूलो स्क्रिन छ,2
36,यो उत्पादन ले आज  सम्म निराश छैन  मेरा बच्चाहरू यसलाई प्रयोग गर्न मनपराउछन,1
37,यो उत्पादन ले आज  सम्म निराश छैन,1
38,निराश छैन,1
39,मेरा बच्चाहरू यसलाई प्रयोग गर्न मनपराउछन,1
40,मेरा बच्चाहरू,2
41,"हल्का वजन, र मूल्य बिन्दुको लागि, निश्चित रूपमा खरीदको लायक",1
42,हल्का वजन,2
43,निश्चित रूपमा खरीदको लायक,1
44,म आफैं छनौटमा खुशी छु,1
45,छनौटमा खुशी छु,1
46,आफैं छनौटमा,2
47,पुस्तक पढ्नको लागी यो ट्याब्लेट ठीक छ ,1
48,यो ट्याब्लेट ठीक छ,1
49,म पुस्तकहरू आदेश र पाठकसँग पढ्न मन पराउँछु,1
50,पाठकसँग पढ्न मन पराउँछु,1
51,"उत्कृष्ट उत्पादन, पर्‍योग गर्न सजिलो छ, ठूला स्क्रिन चलचित्रहरू हेर्न र  पढ्न सजिलो छ",1
52,उत्कृष्ट उत्पादन,1
53,पर्‍योग गर्न सजिलो छ,1
54,चलचित्रहरू हेर्न र  पढ्न सजिलो छ,1
55,ठूला स्क्रिन,2
56,मेरो बुबाले आफ्नो पहिलो ट्याब्लेट किन्न  चाहानु भयो र यो धेरै राम्रो मूल्य हो यसमा  चलचित्रहरू हेर्न र खेल खेल्न सक्छन् यसको प्रयोग गर्न सजिलो छ,1
57,मेरो बुबाले आफ्नो पहिलो ट्याब्लेट किन्न  चाहानु भयो,2
58,चलचित्रहरू हेर्न र खेल खेल्न,2
59,खेल खेल्न सक्छन् यसको प्रयोग गर्न सजिलो छ,1
60,यसको प्रयोग गर्न सजिलो छ,1
61,स्क्रिनको आकार मनपर्छ,1
63,"ज्येष्ठ नागरिकका ज्ञान, सीप तथा अनुभव प्राप्त गरेर नयाँ पुस्तामा हस्तान्तरण गर्दै जानु जरुरी छ",1
64,सीप तथा अनुभव प्राप्त गरेर नयाँ पुस्तामा हस्तान्तरण गर्दै जानु जरुरी छ,1
65, पुस्तामा हस्तान्तरण गर्दै जानु,2
66,Mero bichar ma yo aakdam ramro xa,1
67,Mero bichar ma,2
68,yo aakdam ramro xa,1
69,हजुरहरुले डेलिवर गर्नु भएको समान निकै नै चित्त भुज्ने छ,1
70,हजुरहरुले डेलिवर गर्नु भएको समान,2
71,निकै नै चित्त भुज्ने छ,1
72,यहाँ बाट किनेको सामान ऎक्दमै राम्रो बलियो र टिकाउ छन्,1
73,ऎक्दमै राम्रो बलियो र टिकाउ छन्,1
74,बलियो,1
75,टिकाउ,1
76,राम्रो बलियो र टिकाउ छन्,1
77,नेपालको धरती उपज हो,1
78,धरती उपज हो,2
79,म खुशी छु,1
80,खुशी,2
81,मलाई खेल खेल्न मन पर्छ,1
82,खेल खेल्न मन पर्छ,1
83,म तिमीलाई माया गर्छु,1
84,माया गर्छु,1
85,इलेक्ट्रोनिक मिडिया एक प्रासंगिक र एक खुला स्रोत हो,1
86,एक प्रासंगिक,1
87,एक खुला स्रोत हो,1
88,अती सुन्दर प्रयास,1
89,अती सुन्दर,1
90,सुन्दर प्रयास,1
91,malai yo project ramro layo ,1
92,project ramro layo,1
93,ramro layo,1
94,रक्सी  पिएर बाटोमा सुत्दा नि महिलो नलाग्ने भयो अब रक्सी  पिउन सुरु गरुन्छ,1
95,रक्सी  पिएर बाटोमा सुत्दा नि महिलो नलाग्ने भयो,2
96,बाटोमा सुत्दा,0
97,अब रक्सी  पिउन सुरु गरुन्छ,0
98,बाटोमा सुत्दा नि महिलो नलाग्ने,2
99,सुरु गरुन्छ,2
100,सडक मा भन्दा पहिले नेताको दिमाख मा ब्रुमर लगाएर सफा गरिदिए देश चाडै बिकास हुन्थ्यो कि,1
101,सडक मा भन्दा पहिले,2
102,देश चाडै बिकास हुन्थ्यो,1
103,चाडै बिकास,1
104,नेताको दिमाख मा ब्रुमर लगाएर सफा गरिदिए,0
105,सफा गरिदिए,1
106,पहिला खाल्डाखुल्डी टाल्न भन रुटिने तेस्ता बुमरबाट होइन हेलिपम्प बाट सफा गरौला,1
107,पहिला खाल्डाखुल्डी टाल्न भन,1
108,बुमरबाट होइन हेलिपम्प बाट सफा गरौला,1
109,भन रुटिने,1
110,सफा गरौला,1
111,अनि वाहा भनौला,1
112,वाहा भनौला,1
113,पहिला सबै तिर राम्रो सँग पिच गरेर त्यसपछी सफा गर्न थाले हुन्छ,1
114,पहिला सबै तिर राम्रो सँग पिच गरेर,1
115,सफा गर्न थाले हुन्छ,1
116,पहिला सिहदरबार सफा गर्नु पर्छ  अनि उपत्यका मात्र हैन देश नै सफा हुन्छ,1
117,पहिला सिहदरबार सफा गर्नु पर्छ,1
118,उपत्यका मात्र हैन देश नै सफा हुन्छ,1
119,देश नै सफा हुन्छ,1
120,धन्यवाद तपाईहरु सबैलाई सामन उपलव्ध भएको छ,1
121,धन्यवाद तपाईहरु सबैलाई,1
122,सामन उपलव्ध भएको छ,2
123,सबैलाई सामन उपलव्ध भएको छ,2
124,मनपरि नबोलौँ भन्छु साला यस्तै पोष्ट देखेपछि दिमाग तातिन्छ,1
125,मनपरि नबोलौँ भन्छु,1
126,यस्तै पोष्ट देखेपछि दिमाग तातिन्छ,0
127,साला,0
128,दिमाग तातिन्छ,2
129,त्यसैले अामा-बुबालाई वृद्ध अाश्रम हाेईन घरमै अाफ्नाे साथमा राख्ने गर,1
130,अाफ्नाे साथमा राख्ने गर,2
131,जन्म दीनको लाखौ करोडौ सुभकामना,1
132,लाखौ करोडौ,2
133,सुभकामना,1
134,प्यारे सधै हासिखुसी रहनु,1
135,प्यारे,1
136,सधै हासिखुसी रहनु,1
137,अनाधिक्रित पार्किग नियंत्रण सवारी कसैको जन-जीवन उजाडी,1
138,अनाधिक्रित पार्किग,0
139,कसैको जन-जीवन उजाडी,1
140,फुटपाथ मा कपडा बेच्ने लाई जरिवाना तोकिन्छ यहाँ कलिला नानिका कपडा च्यात्ने हरु खुलेयाम घुमी रहेका छन,1
141,फुटपाथ मा कपडा बेच्ने लाई जरिवाना तोकिन्छ,1
